Category;Title;Ingredients
entree;regime soupe mange graisse;curry, sel, poivre, poivron vert, oignon, ail, tomates pelées, chou blanc, eau, céleri, cube de bouillon
entree;Soupe au pistou de ma grand-mère;sel, poivre, poireau, courgette, carotte, haricots rouges, haricot, haricots verts, pomme de terre, oignon blanc, coquillettes, gruyère, poitrine de porc, eau, sel, poivre, huile d'olive, tomate, ail, basilic
entree;Feuilletés apéritif (allumettes au fromage, feuilletés à la...;gruyère râpé, saucisse, pâte feuilletée
entree;Cuisson des betteraves rouges à l'autocuiseur;betterave
entree;Velouté de carottes au cumin;sel, cumin, curry, beurre, oignon, carotte, pomme de terre, eau, crème liquide
entree;Feuilleté rapide jambon fromage;crème fraîche, gruyère râpé, pâte feuilletée, jambon blanc, ciboulette, jaune d'oeuf
entree;Fondue aux poireaux au Cookeo;crème fraîche, moutarde, beurre, poireau, jus de citron, sel et poivre
entree;Velouté de potiron au Cookeo;sel, persil, muscade, huile, oignon, potiron, crème liquide
entree;Chèvre en feuilleté;pâte feuilletée, fromage de chèvre, oeuf, basilic
entree;Cake salé au Thermomix;levure chimique, huile, farine, emmental, tomate séchée à l'huile d'olive, lardons, olives, oeuf, lait, sel et poivre
entree;Pâté lorrain;huile de tournesol, poivre, sel, quatre-épices, clou de girofle, persil, feuille de laurier, pâte feuilletée, porc, échalote, herbes de Provence, vin blanc sec
entree;Tarte au saumon fumé facile;muscade, poivre, sel, gruyère râpé, pâte feuilletée, saumon fumé, oeuf, crème, ciboulette
entree;Poisson blanc au court-bouillon;crème fraîche, poisson, pomme de terre, court-bouillon
entree;Velouté de patates douces au curry et coriandre (68ème rencontre);coriandre, curry, gingembre, oignon, huile, ail, patate douce, bouillon de volaille, lait de coco, croûtons
entree;Flan aux carottes;sel, poivre, persil, fromage râpé, beurre, carotte, oeuf, crème, ciboulette, basilic
entree;Crème d'asperges en verrines au Thermomix;asperge, mascarpone, oeuf, oeuf de lump, graines de pavot, sel et poivre
entree;Potage de légumes;crème fraîche, sel, poivre, beurre, poireau, oignon, carotte, navet, céleri, bouillon de volaille, jaune d'oeuf
entree;Pâté de sanglier;thym, poivre, sel, foie, sanglier, poitrine de porc, laurier
entree;Filet américain (tartare de boeuf à la mode de  Belgique);sel, poivre, moutarde de Dijon, persil, boeuf haché, échalote, mayonnaise, jaune d'oeuf, câpres, sauce worcestershire
entree;Pêche au thon;thon, mayonnaise, pêche
entree;Brick chèvre, miel et romarin;romarin, miel, brick, fromage de chèvre
entree;Velouté de chou-fleur au Thermomix;poivre, origan, crème fraîche, beurre, chou-fleur, pomme de terre, bouillon de volaille
entree;Sashimi;carotte, saumon, thon rouge, lieu noir, crevettes, radis, soja
entree;Salade de betteraves rouges crues;poivre, fleur de sel, huile d'olive, vinaigre balsamique, moutarde, persil, betterave
entree;Soupe de courge : simple et très veloutée;crème fraîche, poivre, gros sel, oignon, courge, pomme de terre, bouillon de volaille, eau
entree;Velouté de céleri rave;huile d'olive, oignon, céleri, pomme de terre, ail, cube de bouillon, sel de céleri, eau
entree;Ravioles du Royans;farine, oeuf, beurre, persil, tomme, gruyère, jaune d'oeuf
entree;Soupe d'endives;crème fraîche, carotte, bouillon de boeuf, oignon, endive, pomme de terre, margarine
entree;Terrine de chevreuil;farine, thym, armagnac, poivre, sel, chevreuil, porc, pain, oeuf, laurier, genièvre
entree;Soupe à l'oignon gratinée;fromage râpé, poivre, feuille de laurier, bouillon, farine, beurre, oignon, ail, pain
entree;Soupe à l'oignon facon grand-mère;gruyère râpé, beurre, sel, poivre, oignon, pomme de terre, cube de bouillon, eau, croûtons
entree;Conserve de pâté de porc;cognac, muscade, poivre, sel, foie, poitrine de porc, porc, oeuf
entree;Pa amb tomaquet (tartine catalane);sel, huile d'olive, tomate, pain de campagne, ail
entree;Soupe aux épinards;crème fraîche, beurre, sel, poivre, origan, carotte, oignon, épinards, pomme de terre, bouillon de volaille, eau
